GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchPoint,dataBase,Sessione,9,30,1,3,5,12,2,7,1,6
MatchPoint,dataBase,DataBase,1336,177,48,6,366,46,47,7,22,5
MatchPoint,components,TipologiaCampo,0,104,0,0,0,11,0,1,0,1
MatchPoint,components,CentroSportivo,0,43,0,0,0,18,0,9,0,9
MatchPoint,components,Campo,69,169,8,10,14,27,16,14,8,13
MatchPoint,components,Prenotazione,0,145,2,4,0,32,2,12,0,11
MatchPoint,individui,Utente,121,0,12,0,31,0,9,0,3,0
MatchPoint,individui,Gestore,31,74,9,7,15,18,8,2,1,1
MatchPoint,individui,Giocatore,11,84,0,4,7,19,1,3,1,1
MatchPoint,GUI,Register.new JPanel() {...},20,0,2,0,5,0,3,0,2,0
MatchPoint,GUI,Register.new KeyAdapter() {...},62,0,2,0,11,0,4,0,3,0
MatchPoint,GUI,BackgroundPanel,449,0,8,0,103,0,15,0,11,0
MatchPoint,GUI,VediPrenotazioniGiocatorePanel,1027,0,30,0,217,0,35,0,20,0
MatchPoint,GUI,VediPrenotazioniGestorePanel,1129,0,30,0,238,0,34,0,19,0
MatchPoint,GUI,HomePage.new Runnable() {...},8,0,0,0,3,0,2,0,2,0
MatchPoint,GUI,Register.YearSelectorDatePicker,130,0,6,0,33,0,7,0,4,0
MatchPoint,GUI,SelezionaDialog,343,0,8,0,73,0,11,0,7,0
MatchPoint,GUI,GestorePagamenti,414,0,18,0,89,0,20,0,11,0
MatchPoint,GUI,OutlinedLabel,115,0,8,0,26,0,6,0,2,0
MatchPoint,GUI,CreateGestorePanel,341,0,16,0,86,0,19,0,11,0
MatchPoint,GUI,Login,466,0,20,0,121,0,22,0,12,0
MatchPoint,GUI,BackgroundPanel.new JPanel() {...},172,0,4,0,33,0,5,0,3,0
MatchPoint,GUI,VediPrenotazioniGestorePanel.new JScrollPane() {...},34,0,0,0,7,0,2,0,2,0
MatchPoint,GUI,HomePage,320,0,16,0,72,0,15,0,7,0
MatchPoint,GUI,BackgroundPanel.new JPanel() {...},112,0,2,0,19,0,3,0,2,0
MatchPoint,GUI,BackgroundPanel.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MatchPoint,GUI,CustomMessageWithChoice,241,0,10,0,50,0,9,0,4,0
MatchPoint,GUI,ModificaCentroPanel,1014,0,62,0,238,0,50,0,19,0
MatchPoint,GUI,CustomMessage,206,0,8,0,46,0,8,0,4,0
MatchPoint,GUI,CreateGiocatorePanel,260,0,10,0,59,0,14,0,9,0
MatchPoint,GUI,Register.DateLabelFormatter,34,0,4,0,9,0,5,0,3,0
MatchPoint,GUI,ModificaCampoPanel.new DocumentFilter() {...},52,0,6,0,11,0,7,0,4,0
MatchPoint,GUI,SelezionaCampoDialog,237,0,2,0,52,0,7,0,6,0
MatchPoint,GUI,ModificaCampoPanel,841,0,26,0,196,0,28,0,15,0
MatchPoint,GUI,Register,798,0,49,0,167,0,33,0,8,0
MatchPoint,GUI,AggiungiCampoDialog.new Icon() {...},45,0,0,0,9,0,4,0,4,0
MatchPoint,GUI,GestorePagamenti.new MouseAdapter() {...},82,0,12,0,19,0,9,0,3,0
MatchPoint,GUI,VediPrenotazioniGestorePanel.ModernScrollBarUI,48,0,0,0,10,0,5,0,5,0
MatchPoint,GUI,AggiungiCampoDialog.new Icon() {...},40,0,0,0,9,0,4,0,4,0
MatchPoint,GUI,AggiungiCampoDialog.NumericDocumentFilter,27,0,8,0,6,0,6,0,2,0
MatchPoint,GUI,DettagliPrenotazioneDialog,753,0,12,0,151,0,17,0,11,0
MatchPoint,GUI,InserisciCentroPanel,701,0,26,0,157,0,22,0,9,0
MatchPoint,GUI,Login.new JPanel() {...},20,0,2,0,5,0,3,0,2,0
MatchPoint,GUI,VediPrenotazioniGiocatorePanel.new MouseAdapter() {...},21,0,0,0,3,0,2,0,2,0
MatchPoint,GUI,InserisciPrenotazionePanel,1279,0,70,0,279,0,55,0,20,0
MatchPoint,GUI,ModificaCampoPanel.new Icon() {...},45,0,0,0,9,0,4,0,4,0
MatchPoint,GUI,VediPrenotazioniGiocatorePanel.new MouseAdapter() {...},51,0,6,0,15,0,5,0,2,0
MatchPoint,GUI,ModificaCampoPanel.new Icon() {...},40,0,0,0,9,0,4,0,4,0
MatchPoint,GUI,VediPrenotazioniGiocatorePanel.new JScrollPane() {...},34,0,0,0,7,0,2,0,2,0
MatchPoint,GUI,AggiungiCampoDialog,597,0,8,0,122,0,13,0,9,0
MatchPoint,localizzazione,FileReaderUtils,66,0,6,0,16,0,5,0,2,0
